,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
LM-17,0.8992831006906816,0.05092213065427876,0.1623547412781928,0.17023425997487654,0.11364831889473495,0.9299448441618862,0.2883951598762451,0.03722712262515415,-199.85090769927686,-231.552509781761,0.7691685765562992,0.1981321472635104,Válido
MP-07A,0.43775359806375524,0.05260936586467918,0.0705223694055683,0.0649615613776042,0.04936565858389781,0.6600463150295575,0.6642244078051698,0.04453374612859191,-605.0605232629791,-651.5899378790494,1.308110875033294,0.13524993624151058,No Válido
MP-07C-1,0.14397651846761683,0.04784061440997464,0.051984798166870884,0.05406856071765613,0.036389358716809615,0.6107292883062521,0.068266014878301,0.03838979599327878,-644.7504977136077,-690.5298037944679,0.9417645587361184,0.28776097254390576,No Válido
MP-08A,0.5233166086341189,0.042990434899904464,0.06255986235650939,0.05800855539185527,0.04379190364955657,0.6627010616168831,0.5737412854532169,0.032758141422805795,-663.2371947003493,-711.3481137206636,6.299196896716224,0.20250774607260885,No Válido
MPS-AA,0.2918949822749656,0.029187082410426873,0.03482804353068471,0.01988875626102286,0.024379630471479292,0.3754691616915553,0.8791694094726494,0.02097862038143845,-864.4387239344051,-914.9111027396037,0.7811148811154653,2.729253339056559e-05,No Válido
MPS-AB,0.267471006138576,0.030137961555785752,0.03535928928643491,0.02449422726611565,0.024751502500504438,0.41056611682047783,0.41150578698369844,0.02233129409609514,-859.3209959772233,-909.6452257979647,0.9560410073933461,9.024420313583668e-05,No Válido
MPS-AC,0.35885103914090744,0.02678769182187162,0.033593703496328634,0.019715379421771703,0.023515592447430043,0.40137112261416474,0.961834060692587,0.01923786002787682,-839.507198911922,-889.8314287326634,1.9176298682748063,0.00013521067969162642,No Válido
MPS-CA,0.6979985137746831,0.11005225885145993,0.20110686590474383,0.15499481088771636,0.14077480613332066,0.7273448899115846,0.9239453337320432,0.0803025512147022,-515.2448021104861,-565.2690249864937,0.4983624875933779,7.157141102006481e-06,Válido
MPS-CB,0.5948944503644836,0.13416166872224017,0.21167854034787692,0.17150524335657807,0.14817497824351383,0.6290576463915449,0.7745751540793078,0.09928188286823356,-468.67470521160107,-518.6989280876086,1.9741426582114565,2.6882281451345622e-05,No Válido
MPS-CC,0.7202644125500458,0.10957470020681506,0.20805056911877165,0.16828695070079777,0.14563539838314016,0.7520201848522956,0.9071138903512921,0.08073514225401703,-522.0318316691151,-572.0560545451227,0.6496586648619238,1.1635297311225093e-05,Válido
PN-03,0.8038006374449276,0.0997180324471632,0.22614659419030397,0.1924242970057267,0.15830261593321276,0.8278308402644461,0.813912496611721,0.07425838222545346,-490.32129858405887,-539.0928422076809,0.691736428332393,0.004322631554180753,Válido
PN-04,0.8709845516342704,0.0831439557757509,0.23268054688483328,0.20271489167904413,0.1628763828193833,0.8740108219754936,0.7095822309267708,0.05694132874747627,-449.79264353137535,-496.13744114443625,0.6959273621836713,2.640401827629581e-06,Válido
PN-07,0.8418064609664245,0.08744721645836692,0.22098163291590034,0.1875076723748844,0.15468714304113024,0.8463512651781289,0.4363717707913193,0.06068881822305901,-477.14631219804767,-523.8584695004703,0.7877140601647327,1.8246157092951617e-05,Válido
PN-08A,0.713502879422033,0.11240786036597143,0.21073126652041402,0.15690677909468065,0.1475118865642898,0.7375641565652342,0.532511523217218,0.07564590802019366,-707.6759466443286,-761.3808658350787,0.6554645766922661,3.2981214216827074e-09,Válido
PN-09,0.8248408103534216,0.09076357415007008,0.21788838608815622,0.1887465654402537,0.15252187026170935,0.8330688564181896,0.40662976967277364,0.061384829506215134,-509.97583314645397,-558.0867521667683,0.8515964344673778,2.5315704691015108e-08,Válido
PP-01,0.17866138574330925,0.06030938545645879,0.06685944061878794,0.028823912615055895,0.04680160843315156,0.1933817061929699,0.24760741712958778,0.04492289630696891,-553.2155996764055,-601.3265186967199,0.5419480507723272,9.078013181508347e-07,No Válido
PP-03,0.2359325182400538,0.0418061998946595,0.04805225693901444,0.02371219625913935,0.033636579857310105,0.2686684685838824,0.9702488842859729,0.0317888875686413,-629.3947811483246,-677.5057001686389,1.783897070757455,0.15080727330995114,No Válido
REGLILLA INTERNA CONAF,0.24742189984444074,0.014744878811103668,0.026232840196192684,0.8406076362925439,0.018362988137334876,0.2996444292936765,0.734375,0.012259124095736398,-32.69283622456919,-36.24287861662114,965.1712500017254,0.3005320696317308,No Válido
REGLILLA SALADA CONAF,0.7068268104314019,0.004501380521969698,0.008042910281554305,0.021919466493269688,0.005630037197088013,0.7841607705955788,0.6484179915860295,0.003705516752956207,-306.2756262790868,-333.7501157221777,17.062106530792622,0.947450288402045,No Válido
REGLILLA SALADITA CONAF,-5.562068337142144,0.020639850117167523,0.009779366354209118,0.15278577783234304,0.006845556447946382,-0.5048386266137495,0.004497596863529907,0.01739859116889333,-283.1555574187706,-314.43361054787124,75.3567933953705,0.029531828973150265,No Válido
Zanja Camino a Peine,0.796186776453855,0.08060659883873225,0.16612209553842608,0.1594245817969352,0.11628546687689825,0.8296936807583537,0.9280832688953009,0.05976156176733535,-850.0530352043152,-905.0654597005847,0.8325174570827789,1.341428996953455e-06,Válido
Summary,,,,,,,,,,,,,Total Válidos: 33
